[2024-03-01 09:00:12] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 3600s
[2024-03-01 09:15:00] CONNEXION | Source: TERMINAL-03 | Destination: BASE_DONNEES | Utilisateur: JACKSON | Duree: 7200s
[2024-03-01 10:00:00] CONNEXION | Source: TERMINAL-01 | Destination: SERVEUR_SGC | Utilisateur: ONEILL | Duree: 1800s
[2024-03-01 22:50:33] CONNEXION | Source: TERMINAL-42 | Destination: EXTERNE_CHIFFRE | Utilisateur: MAKEPEACE | Duree: 180s
[2024-03-02 08:30:00] CONNEXION | Source: TERMINAL-02 | Destination: LABO_RESEAU | Utilisateur: CARTER | Duree: 5400s
[2024-03-02 09:00:00] CONNEXION | Source: TERMINAL-30 | Destination: BASE_DONNEES | Utilisateur: LEE | Duree: 3600s
[2024-03-02 10:00:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-03 08:00:00] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 7200s
[2024-03-03 09:00:00] CONNEXION | Source: TERMINAL-31 | Destination: LABO_RESEAU | Utilisateur: FELGER | Duree: 3600s
[2024-03-03 14:00:00] CONNEXION | Source: TERMINAL-03 | Destination: BASE_DONNEES | Utilisateur: JACKSON | Duree: 5400s
[2024-03-04 08:30:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-04 09:00:00] CONNEXION | Source: TERMINAL-02 | Destination: LABO_RESEAU | Utilisateur: CARTER | Duree: 7200s
[2024-03-04 10:00:00] CONNEXION | Source: TERMINAL-30 | Destination: BASE_DONNEES | Utilisateur: LEE | Duree: 3600s
[2024-03-05 01:35:22] CONNEXION | Source: TERMINAL-42 | Destination: EXTERNE_CHIFFRE | Utilisateur: MAKEPEACE | Duree: 240s
[2024-03-05 08:00:00] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 3600s
[2024-03-05 09:30:00] CONNEXION | Source: TERMINAL-40 | Destination: SERVEUR_SGC | Utilisateur: DAVIS | Duree: 1800s
[2024-03-06 08:30:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-06 09:00:00] CONNEXION | Source: TERMINAL-03 | Destination: BASE_DONNEES | Utilisateur: JACKSON | Duree: 5400s
[2024-03-06 14:00:00] CONNEXION | Source: TERMINAL-30 | Destination: LABO_RESEAU | Utilisateur: LEE | Duree: 3600s
[2024-03-07 00:12:45] CONNEXION | Source: TERMINAL-42 | Destination: EXTERNE_CHIFFRE | Utilisateur: MAKEPEACE | Duree: 300s
[2024-03-07 08:00:00] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 7200s
[2024-03-07 09:00:00] CONNEXION | Source: TERMINAL-31 | Destination: LABO_RESEAU | Utilisateur: FELGER | Duree: 3600s
[2024-03-08 08:30:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-08 09:00:00] CONNEXION | Source: TERMINAL-02 | Destination: LABO_RESEAU | Utilisateur: CARTER | Duree: 5400s
[2024-03-09 08:00:00] CONNEXION | Source: TERMINAL-30 | Destination: BASE_DONNEES | Utilisateur: LEE | Duree: 3600s
[2024-03-09 09:00:00] CONNEXION | Source: TERMINAL-03 | Destination: BASE_DONNEES | Utilisateur: JACKSON | Duree: 7200s
[2024-03-10 08:00:00] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 3600s
[2024-03-10 09:00:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-11 08:30:00] CONNEXION | Source: TERMINAL-02 | Destination: LABO_RESEAU | Utilisateur: CARTER | Duree: 5400s
[2024-03-11 09:00:00] CONNEXION | Source: TERMINAL-31 | Destination: LABO_RESEAU | Utilisateur: FELGER | Duree: 3600s
[2024-03-12 08:00:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-12 09:00:00] CONNEXION | Source: TERMINAL-30 | Destination: BASE_DONNEES | Utilisateur: LEE | Duree: 3600s
[2024-03-13 08:00:00] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 7200s
[2024-03-13 09:00:00] CONNEXION | Source: TERMINAL-03 | Destination: BASE_DONNEES | Utilisateur: JACKSON | Duree: 5400s
[2024-03-14 08:30:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-15 03:22:45] CONNEXION | Source: TERMINAL-42 | Destination: EXTERNE_CHIFFRE | Utilisateur: MAKEPEACE | Duree: 180s
[2024-03-15 08:00:00] CONNEXION | Source: TERMINAL-02 | Destination: SERVEUR_SGC | Utilisateur: CARTER | Duree: 3600s
[2024-03-16 08:00:00] CONNEXION | Source: TERMINAL-30 | Destination: LABO_RESEAU | Utilisateur: LEE | Duree: 3600s
[2024-03-17 08:00:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
[2024-03-18 08:30:00] CONNEXION | Source: TERMINAL-02 | Destination: LABO_RESEAU | Utilisateur: CARTER | Duree: 5400s
[2024-03-19 02:50:18] CONNEXION | Source: TERMINAL-42 | Destination: EXTERNE_CHIFFRE | Utilisateur: MAKEPEACE | Duree: 210s
[2024-03-19 08:00:00] CONNEXION | Source: TERMINAL-03 | Destination: BASE_DONNEES | Utilisateur: JACKSON | Duree: 7200s
[2024-03-20 08:00:00] CONNEXION | Source: TERMINAL-20 | Destination: SERVEUR_SGC | Utilisateur: HARRIMAN | Duree: 28800s
