Timestamp,Zone,Consommation_KW,Type
2024-03-01T08:00,Bouclier,450,Defense
2024-03-01T08:00,Moteurs,0,Propulsion
2024-03-01T08:00,Capteurs,85,Detection
2024-03-01T08:00,Labo_McKay,120,Recherche
2024-03-01T08:00,Infirmerie,45,Medical
2024-03-01T08:00,Vie,200,Survie
2024-03-01T12:00,Bouclier,470,Defense
2024-03-01T12:00,Moteurs,5,Propulsion
2024-03-01T12:00,Capteurs,82,Detection
2024-03-01T12:00,Labo_McKay,135,Recherche
2024-03-01T12:00,Infirmerie,48,Medical
2024-03-01T12:00,Vie,210,Survie
2024-03-02T08:00,Bouclier,430,Defense
2024-03-02T08:00,Moteurs,0,Propulsion
2024-03-02T08:00,Capteurs,78,Detection
2024-03-02T08:00,Labo_McKay,115,Recherche
2024-03-02T08:00,Infirmerie,42,Medical
2024-03-02T08:00,Vie,195,Survie
2024-03-02T12:00,Bouclier,460,Defense
2024-03-02T12:00,Moteurs,3,Propulsion
2024-03-02T12:00,Capteurs,88,Detection
2024-03-02T12:00,Labo_McKay,125,Recherche
2024-03-02T12:00,Infirmerie,50,Medical
2024-03-02T12:00,Vie,205,Survie
2024-03-03T08:00,Bouclier,440,Defense
2024-03-03T08:00,Moteurs,0,Propulsion
2024-03-03T08:00,Capteurs,80,Detection
2024-03-03T08:00,Labo_McKay,110,Recherche
2024-03-03T08:00,Infirmerie,47,Medical
2024-03-03T08:00,Vie,190,Survie
2024-03-03T12:00,Bouclier,475,Defense
2024-03-03T12:00,Moteurs,8,Propulsion
2024-03-03T12:00,Capteurs,90,Detection
2024-03-03T12:00,Labo_McKay,140,Recherche
2024-03-03T12:00,Infirmerie,52,Medical
2024-03-03T12:00,Vie,215,Survie
2024-03-04T08:00,Bouclier,455,Defense
2024-03-04T08:00,Moteurs,2,Propulsion
2024-03-04T08:00,Capteurs,83,Detection
2024-03-04T08:00,Labo_McKay,118,Recherche
2024-03-04T08:00,Infirmerie,44,Medical
2024-03-04T08:00,Vie,198,Survie
2024-03-04T12:00,Bouclier,465,Defense
2024-03-04T12:00,Moteurs,6,Propulsion
2024-03-04T12:00,Capteurs,87,Detection
2024-03-04T12:00,Labo_McKay,130,Recherche
2024-03-04T12:00,Infirmerie,49,Medical
2024-03-04T12:00,Vie,208,Survie
2024-03-05T08:00,Bouclier,445,Defense
2024-03-05T08:00,Moteurs,0,Propulsion
2024-03-05T08:00,Capteurs,76,Detection
2024-03-05T08:00,Labo_McKay,105,Recherche
2024-03-05T08:00,Infirmerie,43,Medical
2024-03-05T08:00,Vie,185,Survie
2024-03-05T12:00,Bouclier,480,Defense
2024-03-05T12:00,Moteurs,10,Propulsion
2024-03-05T12:00,Capteurs,92,Detection
2024-03-05T12:00,Labo_McKay,138,Recherche
2024-03-05T12:00,Infirmerie,55,Medical
2024-03-05T12:00,Vie,212,Survie
