[ENTRY-001] Objet: Drone_defensif | Type: arme | Statut: actif | Localisation: armurerie_outpost_antarctique
[ENTRY-002] Objet: Anneau_de_transport | Type: transport | Statut: hors_service | Localisation: vaisseau_ancien_aurora
[ENTRY-003] Objet: Dispositif_de_communication | Type: communication | Statut: actif | Localisation: sgc_terre
[ENTRY-004] Objet: Pierre_de_transfert | Type: communication | Statut: actif | Localisation: inconnue
[ENTRY-005] Objet: Fauteuil_de_controle | Type: interface | Statut: actif | Localisation: outpost_antarctique
[ENTRY-006] Objet: Detecteur_de_vie | Type: capteur | Statut: actif | Localisation: stock_atlantis
[ENTRY-007] Objet: Generateur_de_bouclier | Type: defense | Statut: hors_service | Localisation: cite_atlantis
[ENTRY-008] Objet: Naquadah_brut | Type: minerai | Statut: disponible | Localisation: mines_P4X-231
[ENTRY-009] Objet: Vaisseau_puddle_jumper | Type: transport | Statut: actif | Localisation: hangar_atlantis
[ENTRY-010] Objet: Appareil_Dakara | Type: arme | Statut: detruit | Localisation: dakara
[ENTRY-011] Objet: Bibliotheque_des_Anciens | Type: savoir | Statut: dangereux | Localisation: P3R-272
[ENTRY-012] Objet: Miroir_quantique | Type: transport | Statut: desactive | Localisation: zone_51
[ENTRY-013] Objet: Sarcophage_goauld | Type: medical | Statut: actif | Localisation: confisque_sgc
[ENTRY-014] Objet: Naquadria | Type: minerai | Statut: instable | Localisation: langara
[ENTRY-015] Objet: ZPM-ALPHA | Type: source_energie | Statut: epuise | Localisation: temple_ancien/salle_zpm
[ENTRY-016] Objet: Canon_a_ions | Type: arme | Statut: hors_service | Localisation: satellite_ancien
[ENTRY-017] Objet: Appareil_de_phase | Type: technologie | Statut: actif | Localisation: sokar
[ENTRY-018] Objet: Cloak_de_jumper | Type: camouflage | Statut: actif | Localisation: hangar_atlantis
[ENTRY-019] Objet: Reacteur_a_naquadah | Type: source_energie | Statut: actif | Localisation: sgc_terre
[ENTRY-020] Objet: Cristal_de_controle | Type: composant | Statut: disponible | Localisation: stock_sgc
[ENTRY-021] Objet: Teleporteur | Type: transport | Statut: actif | Localisation: cite_atlantis
[ENTRY-022] Objet: Virus_Prior | Type: bio_arme | Statut: neutralise | Localisation: labo_sgc
[ENTRY-023] Objet: Replicateur_fragment | Type: danger | Statut: inactif | Localisation: quarantaine_sgc
[ENTRY-024] Objet: Potentia_epuise | Type: source_energie | Statut: epuise | Localisation: inconnue
[ENTRY-025] Objet: ZPM-BETA | Type: source_energie | Statut: epuise | Localisation: temple_ancien/salle_zpm
[ENTRY-026] Objet: Stabilisateur_de_vortex | Type: composant | Statut: actif | Localisation: porte_P3X-974
[ENTRY-027] Objet: Drone_wraith | Type: arme_ennemie | Statut: capture | Localisation: labo_atlantis
[ENTRY-028] Objet: Cristal_memoire | Type: stockage | Statut: actif | Localisation: ruines_P3X-974
[ENTRY-029] Objet: Bouclier_personnel | Type: defense | Statut: actif | Localisation: stock_atlantis
[ENTRY-030] Objet: Asgard_core | Type: base_donnees | Statut: actif | Localisation: odyssey
[ENTRY-031] Objet: Capsule_stase | Type: medical | Statut: actif | Localisation: outpost_antarctique
[ENTRY-032] Objet: Extracteur_de_naquadah | Type: outil | Statut: hors_service | Localisation: mines_abydos
[ENTRY-033] Objet: Terraformeur | Type: technologie | Statut: detruit | Localisation: hadante
[ENTRY-034] Objet: Arme_ori | Type: arme | Statut: desactivee | Localisation: superporte_ori
[ENTRY-035] Objet: Generateur_mark_II | Type: source_energie | Statut: prototype | Localisation: labo_carter
[ENTRY-036] Objet: DHD_standard | Type: interface | Statut: actif | Localisation: multiples_planetes
[ENTRY-037] Objet: Naquadah_enrichi | Type: minerai | Statut: dangereux | Localisation: stockage_securise_sgc
[ENTRY-038] Objet: Vaisseau_mere_goauld | Type: transport | Statut: capture | Localisation: orbite_terre
[ENTRY-039] Objet: ZPM-GAMMA | Type: source_energie | Statut: actif | Localisation: temple_ancien/salle_zpm
[ENTRY-040] Objet: Recepteur_subspacial | Type: communication | Statut: actif | Localisation: cite_atlantis
[ENTRY-041] Objet: Disrupteur_replicateur | Type: arme | Statut: actif | Localisation: stock_sgc
[ENTRY-042] Objet: Programme_de_traduction | Type: logiciel | Statut: actif | Localisation: labo_jackson
[ENTRY-043] Objet: Jumper_temporel | Type: transport | Statut: experimental | Localisation: hangar_atlantis
[ENTRY-044] Objet: Symbiote_tok_ra | Type: bio | Statut: allie | Localisation: base_tok_ra
[ENTRY-045] Objet: Bombe_au_naquadah | Type: arme | Statut: stockee | Localisation: arsenal_sgc
[ENTRY-046] Objet: Iris_porte | Type: defense | Statut: actif | Localisation: sgc_terre
[ENTRY-047] Objet: ZPM-DELTA | Type: source_energie | Statut: epuise | Localisation: cite_atlantis
[ENTRY-048] Objet: Emetteur_asgard | Type: communication | Statut: actif | Localisation: pont_prometheus
[ENTRY-049] Objet: Sanctuaire_ancien | Type: lieu | Statut: intact | Localisation: kheb
[ENTRY-050] Objet: Satellite_espion_goauld | Type: capteur | Statut: desactive | Localisation: orbite_P3X-974
